date,hour_jst,cost,clicks
2026-08-29,18,8200,122
2026-08-29,19,8503,117
2026-08-29,20,10915,156
2026-08-29,21,11740,177
2026-08-29,22,9413,119
2026-08-29,23,8475,109
2026-08-30,00,4932,37
2026-08-30,01,3198,34
2026-08-30,02,2398,23
2026-08-30,03,1965,17
2026-08-30,04,1986,19
2026-08-30,05,3552,39
2026-08-30,06,7922,103
2026-08-30,07,12388,161
2026-08-30,08,18977,210
2026-08-30,09,21144,263
2026-08-30,10,23104,275
2026-08-30,11,19635,212
2026-08-30,12,17311,215
2026-08-30,13,13752,168
2026-08-30,14,10767,118
2026-08-30,15,10141,118
2026-08-30,16,9724,135
2026-08-30,17,10631,138
2026-08-30,18,10178,127
2026-08-30,19,11627,157
2026-08-30,20,14363,183
2026-08-30,21,14017,175
2026-08-30,22,12149,146
2026-08-30,23,8697,86
2026-08-31,00,4354,48
2026-08-31,01,2562,27
2026-08-31,02,1925,17
2026-08-31,03,1547,13
2026-08-31,04,1900,24
2026-08-31,05,4500,43
2026-08-31,06,6581,79
2026-08-31,07,10310,134
2026-08-31,08,12301,139
2026-08-31,09,11878,142
2026-08-31,10,12077,172
2026-08-31,11,11207,150
2026-08-31,12,14967,170
2026-08-31,13,11254,115
2026-08-31,14,8746,111
2026-08-31,15,8247,116
2026-08-31,16,8560,103
